t,x,y,z,vx,vy,vz,mx,my,mz,sx,sy,sz
10800.0,-4.811012791437766E7,-4.7928750532870315E7,-8115817.939342804,-1343.8068091957766,-2659.176019115761,-860.6436223267414,3.6846299770944667E8,2.5272739255503383E7,-2.609599263960917E7,1.7210773752369015E10,-1.3864047033029407E11,-6.010084600026848E10
21600.0,-6.000737409463792E7,-7.384232276368085E7,-1.6873899280253854E7,-917.1056052384728,-2187.03786327968,-766.1141222056455,3.6775391646401036E8,3.5700804927117676E7,-2.148006849470974E7,1.7525140409014267E10,-1.3860774724914337E11,-6.0086660302096405E10
43200.0,-7.536576844849172E7,-1.1517606467270704E8,-3.1965424736483485E7,-559.0494691622456,-1696.657642617321,-641.6338664559038,3.6530743732895386E8,5.64467800716361E7,-1.2192651104895614E7,1.8153628575930847E10,-1.385404727037516E11,-6.0057495052171394E10
82800.0,-9.146347273569064E7,-1.7242358278187162E8,-5.447635994072867E7,-293.158004377105,-1245.2581521975285,-507.46374017399194,3.572840986857477E8,9.387842276356602E7,4927974.202425883,1.9304976326321976E10,-1.3841081070807547E11,-6.000127910472861E10
162000.0,-1.0487349762781547E8,-2.50830132111146E8,-8.802158301485093E7,-77.86535774341448,-784.440108278545,-353.54892191517314,3.27883246278786E8,1.6476077658928463E8,3.8778867014414564E7,2.1604016561851337E10,-1.3812697835701917E11,-5.987820668814133E10
208800.0,-1.0680802747723334E8,-2.8316336297967434E8,-1.0300865709131669E8,-8.74577544564751,-603.6563933415423,-288.78799462247133,3.026105676202359E8,2.0299031320339325E8,5.7983632520388626E7,2.296007707646801E10,-1.3794393617442957E11,-5.9798830019270485E10
